# H0	ombh2	omch2	tau	As	ns	chisq
6.952783015443544912e+01 2.240269414993571739e-02 1.145532514368035326e-01 8.764186896639851454e-02 2.212357247262568962e-09 9.815054684877585478e-01 2.579044981091798036e+03
6.952783015443544912e+01 2.240269414993571739e-02 1.145532514368035326e-01 8.764186896639851454e-02 2.212357247262568962e-09 9.815054684877585478e-01 2.579044981091798036e+03
6.952783015443544912e+01 2.240269414993571739e-02 1.145532514368035326e-01 8.764186896639851454e-02 2.212357247262568962e-09 9.815054684877585478e-01 2.579044981091798036e+03
6.952783015443544912e+01 2.240269414993571739e-02 1.145532514368035326e-01 8.764186896639851454e-02 2.212357247262568962e-09 9.815054684877585478e-01 2.579044981091798036e+03
6.989567349298017973e+01 2.251517171541886700e-02 1.141506928319735853e-01 1.069808470557468694e-01 2.292286561284090503e-09 9.852568646624946247e-01 2.580644673255850194e+03
7.044989231561622489e+01 2.256190019698169416e-02 1.127030738737952870e-01 9.044196153654478210e-02 2.210979498158764608e-09 9.877247755349763958e-01 2.582855346691642808e+03
7.044989231561622489e+01 2.256190019698169416e-02 1.127030738737952870e-01 9.044196153654478210e-02 2.210979498158764608e-09 9.877247755349763958e-01 2.582855346691642808e+03
7.044989231561622489e+01 2.256190019698169416e-02 1.127030738737952870e-01 9.044196153654478210e-02 2.210979498158764608e-09 9.877247755349763958e-01 2.582855346691642808e+03
7.044989231561622489e+01 2.256190019698169416e-02 1.127030738737952870e-01 9.044196153654478210e-02 2.210979498158764608e-09 9.877247755349763958e-01 2.582855346691642808e+03
7.044989231561622489e+01 2.256190019698169416e-02 1.127030738737952870e-01 9.044196153654478210e-02 2.210979498158764608e-09 9.877247755349763958e-01 2.582855346691642808e+03
7.144333354622759202e+01 2.268419205298412636e-02 1.104913964839090018e-01 9.807003697118819863e-02 2.233250505802615822e-09 9.909526181078642804e-01 2.586655833742011964e+03
7.043358238939534033e+01 2.265263642554734766e-02 1.131363203004711049e-01 9.962468923533540632e-02 2.256366533261681708e-09 9.854945150014977617e-01 2.580873904116526319e+03
7.043358238939534033e+01 2.265263642554734766e-02 1.131363203004711049e-01 9.962468923533540632e-02 2.256366533261681708e-09 9.854945150014977617e-01 2.580873904116526319e+03
7.043358238939534033e+01 2.265263642554734766e-02 1.131363203004711049e-01 9.962468923533540632e-02 2.256366533261681708e-09 9.854945150014977617e-01 2.580873904116526319e+03
7.066641752798420839e+01 2.276857504805252300e-02 1.127742280986628459e-01 1.078724628289382398e-01 2.290131607501269935e-09 9.861511788665248135e-01 2.582218710343676321e+03
